user_played, instrument_name, velocity, pitch, start (s), end (s)
False,piano,80,73,61.791155999999994,61.896566637499994
False,piano,80,69,61.9030965,62.0085071375
False,piano,80,68,62.015037,62.5961947625
False,piano,80,61,62.126977499999995,62.5961947625
False,piano,80,78,62.462799,62.6745531125
False,piano,80,78,62.686679999999996,63.1111210625
True,piano,80,61,62.686679999999996,64.3872427625
True,piano,80,66,62.686679999999996,64.3872427625
True,piano,80,69,62.686679999999996,64.3872427625
False,piano,80,80,63.134442,63.558883062499994
False,piano,80,81,63.582204,64.0066450625
False,piano,80,78,64.029966,64.24172011249999
False,piano,80,76,64.253847,64.4656011125
False,piano,80,76,64.477728,64.79582558749999
True,piano,80,59,64.477728,64.6894821125
True,piano,80,66,64.70160899999999,64.9133631125
False,piano,80,76,64.8135495,65.1316470875
True,piano,80,71,64.92549,65.1372441125
False,piano,80,76,65.149371,65.36112511249999
True,piano,80,66,65.149371,65.36112511249999
False,piano,80,76,65.373252,65.6913495875
True,piano,80,71,65.373252,65.5850061125
True,piano,80,66,65.597133,65.8088871125
False,piano,80,73,65.7090735,66.0271710875
True,piano,80,71,65.82101399999999,66.0327681125
False,piano,80,74,66.044895,66.2566491125
True,piano,80,66,66.044895,66.2566491125
False,piano,80,76,66.268776,66.5868735875
True,piano,80,52,66.268776,66.48053011249999
True,piano,80,59,66.492657,66.7044111125
False,piano,80,76,66.6045975,66.9226950875
True,piano,80,64,66.716538,66.9282921125
True,piano,80,59,66.94041899999999,67.1521731125
False,piano,80,73,67.1643,67.4823975875
False,piano,80,76,67.1643,67.4823975875
True,piano,80,64,67.1643,67.3760541125
True,piano,80,59,67.388181,67.59993511249999
False,piano,80,73,67.50012149999999,67.8182190875
False,piano,80,76,67.50012149999999,67.8182190875
True,piano,80,64,67.612062,67.8238161125
False,piano,80,73,67.835943,68.0476971125
False,piano,80,78,67.835943,68.0476971125
True,piano,80,59,67.835943,68.0476971125
False,piano,80,69,68.05982399999999,68.3779215875
False,piano,80,76,68.05982399999999,68.3779215875
True,piano,80,57,68.05982399999999,68.2715781125
True,piano,80,64,68.283705,68.4954591125
False,piano,80,74,68.3956455,68.5010561375
False,piano,80,73,68.507586,69.3574009625
True,piano,80,69,68.507586,68.71934011249999
True,piano,80,64,68.731467,68.9432211125
True,piano,80,69,68.955348,69.1671021125
True,piano,80,64,69.17922899999999,69.3909831125
True,piano,80,69,69.40311,69.6148641125
False,piano,80,78,69.626991,69.83874511249999
True,piano,80,64,69.626991,69.83874511249999
False,piano,80,78,69.850872,70.2753130625
True,piano,80,45,69.850872,70.0626261125
True,piano,80,49,70.074753,70.28650711249999
False,piano,80,80,70.29863399999999,70.7230750625
True,piano,80,52,70.29863399999999,70.5103881125
True,piano,80,57,70.522515,70.7342691125
False,piano,80,81,70.74639599999999,71.1708370625
True,piano,80,61,70.74639599999999,70.9581501125
True,piano,80,64,70.970277,71.1820311125
False,piano,80,78,71.194158,71.6185990625
True,piano,80,61,71.194158,71.2995686375
True,piano,80,57,71.30609849999999,71.41150913749999
True,piano,80,52,71.418039,71.5234496375
True,piano,80,49,71.5299795,71.6353901375
False,piano,80,74,71.64192,72.49173496249999
False,piano,80,78,71.64192,72.49173496249999
False,piano,80,81,71.64192,72.49173496249999
False,piano,80,85,71.64192,72.49173496249999
True,piano,80,38,71.64192,71.8536741125
True,piano,80,45,71.86580099999999,72.0775551125
True,piano,80,50,72.089682,72.3014361125
True,piano,80,54,72.313563,72.52531711249999
True,piano,80,57,72.537444,72.7491981125
True,piano,80,50,72.761325,72.9730791125
True,piano,80,57,72.98520599999999,73.1969601125
False,piano,80,66,73.209087,73.4208411125
False,piano,80,78,73.209087,73.4208411125
True,piano,80,50,73.209087,73.4208411125
False,piano,80,66,73.432968,73.8574090625
False,piano,80,78,73.432968,73.8574090625
True,piano,80,38,73.432968,73.64472211249999
True,piano,80,45,73.656849,73.8686031125
False,piano,80,68,73.88073,74.3051710625
False,piano,80,80,73.88073,74.3051710625
True,piano,80,50,73.88073,74.0924841125
True,piano,80,54,74.10461099999999,74.3163651125
False,piano,80,69,74.328492,74.75293306249999
False,piano,80,81,74.328492,74.75293306249999
True,piano,80,57,74.328492,74.5402461125
True,piano,80,50,74.552373,74.76412711249999
False,piano,80,73,74.776254,75.2006950625
False,piano,80,85,74.776254,75.2006950625
True,piano,80,57,74.776254,74.9880081125
True,piano,80,50,75.000135,75.2118891125
False,piano,80,73,75.22401599999999,75.86114401249999
False,piano,80,76,75.22401599999999,75.86114401249999
False,piano,80,80,75.22401599999999,75.86114401249999
False,piano,80,83,75.22401599999999,75.86114401249999
True,piano,80,37,75.22401599999999,75.4357701125
True,piano,80,44,75.447897,75.6596511125
True,piano,80,49,75.671778,75.88353211249999
False,piano,80,73,75.895659,76.1074131125
False,piano,80,76,75.895659,76.1074131125
False,piano,80,81,75.895659,76.1074131125
True,piano,80,52,75.895659,76.1074131125
False,piano,80,73,76.11954,76.5439810625
False,piano,80,76,76.11954,76.5439810625
False,piano,80,80,76.11954,76.5439810625
True,piano,80,56,76.11954,76.3312941125
True,piano,80,49,76.34342099999999,76.5551751125
False,piano,80,73,76.567302,76.7790561125
False,piano,80,76,76.567302,76.7790561125
True,piano,80,56,76.567302,76.7790561125
False,piano,80,73,76.79118299999999,77.4283110125
False,piano,80,76,76.79118299999999,77.4283110125
True,piano,80,49,76.79118299999999,77.00293711249999
True,piano,80,42,77.015064,77.2268181125
True,piano,80,49,77.238945,77.45069911249999
False,piano,80,69,77.46282599999999,77.6745801125
False,piano,80,73,77.46282599999999,77.6745801125
True,piano,80,54,77.46282599999999,77.6745801125
False,piano,80,69,77.686707,77.8984611125
False,piano,80,73,77.686707,77.8984611125
True,piano,80,57,77.686707,77.8984611125
True,piano,80,61,77.91058799999999,78.1223421125
True,piano,80,54,78.134469,78.3462231125
True,piano,80,61,78.35835,78.57010411249999
True,piano,80,54,78.582231,78.7939851125
False,piano,80,76,78.806112,79.12420958749999
True,piano,80,35,78.806112,79.0178661125
True,piano,80,42,79.02999299999999,79.2417471125
False,piano,80,76,79.1419335,79.4600310875
True,piano,80,47,79.253874,79.4656281125
False,piano,80,76,79.477755,79.68950911249999
True,piano,80,50,79.477755,79.68950911249999
False,piano,80,76,79.701636,80.0197335875
True,piano,80,54,79.701636,79.9133901125
True,piano,80,47,79.925517,80.1372711125
False,piano,80,73,80.0374575,80.3555550875
True,piano,80,54,80.14939799999999,80.3611521125
False,piano,80,74,80.373279,80.5850331125
True,piano,80,47,80.373279,80.5850331125
False,piano,80,76,80.59716,80.9152575875
True,piano,80,40,80.59716,80.80891411249999
True,piano,80,47,80.821041,81.0327951125
False,piano,80,76,80.9329815,81.2510790875
True,piano,80,52,81.044922,81.2566761125
True,piano,80,56,81.26880299999999,81.4805571125
False,piano,80,73,81.492684,81.8107815875
False,piano,80,76,81.492684,81.8107815875
True,piano,80,59,81.492684,81.7044381125
True,piano,80,52,81.716565,81.92831911249999
False,piano,80,73,81.82850549999999,82.1466030875
False,piano,80,76,81.82850549999999,82.1466030875
True,piano,80,59,81.940446,82.1522001125
False,piano,80,73,82.164327,82.3760811125
False,piano,80,78,82.164327,82.3760811125
True,piano,80,52,82.164327,82.3760811125
False,piano,80,69,82.38820799999999,82.7063055875
False,piano,80,76,82.38820799999999,82.7063055875
True,piano,80,45,82.38820799999999,82.5999621125
True,piano,80,49,82.612089,82.8238431125
False,piano,80,74,82.7240295,82.8294401375
False,piano,80,73,82.83597,83.6857849625
True,piano,80,52,82.83597,83.04772411249999
True,piano,80,57,83.059851,83.2716051125
True,piano,80,61,83.283732,83.49548611249999
True,piano,80,52,83.50761299999999,83.7193671125
True,piano,80,61,83.731494,83.9432481125
False,piano,80,66,83.95537499999999,84.16712911249999
True,piano,80,52,83.95537499999999,84.16712911249999
False,piano,80,66,84.179256,84.60369706249999
False,piano,80,78,84.179256,84.60369706249999
True,piano,80,49,84.179256,84.3910101125
True,piano,80,54,84.179256,84.3910101125
True,piano,80,57,84.179256,84.3910101125
True,piano,80,56,84.403137,84.61489111249999
False,piano,80,68,84.62701799999999,85.0514590625
False,piano,80,80,84.62701799999999,85.0514590625
True,piano,80,49,84.62701799999999,84.8387721125
True,piano,80,52,84.62701799999999,84.8387721125
True,piano,80,56,84.62701799999999,84.8387721125
True,piano,80,59,84.850899,85.0626531125
False,piano,80,69,85.07477999999999,85.4992210625
False,piano,80,81,85.07477999999999,85.4992210625
True,piano,80,52,85.07477999999999,85.2865341125
True,piano,80,57,85.07477999999999,85.2865341125
True,piano,80,61,85.07477999999999,85.2865341125
True,piano,80,59,85.298661,85.5104151125
False,piano,80,73,85.522542,85.9469830625
False,piano,80,85,85.522542,85.9469830625
True,piano,80,49,85.522542,85.73429611249999
True,piano,80,52,85.522542,85.73429611249999
True,piano,80,57,85.522542,85.73429611249999
True,piano,80,56,85.746423,85.9581771125
False,piano,80,74,85.970304,86.28840158749999
False,piano,80,78,85.970304,86.28840158749999
True,piano,80,38,85.970304,86.3947450625
True,piano,80,50,85.970304,86.3947450625
False,piano,80,74,86.3061255,86.6242230875
False,piano,80,78,86.3061255,86.6242230875
True,piano,80,50,86.418066,86.6298201125
True,piano,80,54,86.418066,86.6298201125
True,piano,80,57,86.418066,86.6298201125
False,piano,80,74,86.641947,86.85370111249999
False,piano,80,78,86.641947,86.85370111249999
True,piano,80,38,86.641947,87.0663880625
True,piano,80,50,86.641947,87.0663880625
False,piano,80,74,86.865828,86.9712386375
False,piano,80,78,86.865828,86.9712386375
False,piano,80,74,86.9777685,87.2958660875
False,piano,80,78,86.9777685,87.2958660875
True,piano,80,38,87.089709,87.3014631125
True,piano,80,50,87.089709,87.3014631125
True,piano,80,50,87.31358999999999,87.7380310625
True,piano,80,54,87.31358999999999,87.7380310625
True,piano,80,57,87.31358999999999,87.7380310625
False,piano,80,74,87.761352,88.0794495875
False,piano,80,78,87.761352,88.0794495875
True,piano,80,38,87.761352,88.1857930625
True,piano,80,50,87.761352,88.1857930625
False,piano,80,74,88.0971735,88.4152710875
False,piano,80,78,88.0971735,88.4152710875
True,piano,80,50,88.209114,88.4208681125
True,piano,80,54,88.209114,88.4208681125
True,piano,80,57,88.209114,88.4208681125
False,piano,80,74,88.43299499999999,88.6447491125
False,piano,80,78,88.43299499999999,88.6447491125
True,piano,80,38,88.43299499999999,88.8574360625
True,piano,80,50,88.43299499999999,88.8574360625
False,piano,80,74,88.656876,88.7622866375
False,piano,80,78,88.656876,88.7622866375
False,piano,80,74,88.7688165,89.08691408749999
False,piano,80,78,88.7688165,89.08691408749999
True,piano,80,38,88.880757,89.09251111249999
True,piano,80,50,88.880757,89.09251111249999
True,piano,80,50,89.104638,89.5290790625
True,piano,80,54,89.104638,89.5290790625
True,piano,80,57,89.104638,89.5290790625
False,piano,80,73,89.55239999999999,89.8704975875
False,piano,80,76,89.55239999999999,89.8704975875
True,piano,80,37,89.55239999999999,89.9768410625
True,piano,80,49,89.55239999999999,89.9768410625
False,piano,80,73,89.8882215,90.20631908749999
False,piano,80,76,89.8882215,90.20631908749999
True,piano,80,49,90.000162,90.21191611249999
True,piano,80,52,90.000162,90.21191611249999
True,piano,80,56,90.000162,90.21191611249999
False,piano,80,73,90.224043,90.4357971125
False,piano,80,76,90.224043,90.4357971125
True,piano,80,37,90.224043,90.64848406249999
True,piano,80,49,90.224043,90.64848406249999
False,piano,80,73,90.447924,90.5533346375
False,piano,80,76,90.447924,90.5533346375
False,piano,80,73,90.55986449999999,90.8779620875
False,piano,80,76,90.55986449999999,90.8779620875
True,piano,80,37,90.67180499999999,90.8835591125
True,piano,80,49,90.67180499999999,90.8835591125
True,piano,80,49,90.895686,91.32012706249999
